	M1RP_ID10_PB2	M1RP_ID10_RP2	M1RP_ID10_RP3	M1RP_ID10_cfDNA_2018Dec03	M1RP_ID11_MLN3	M1RP_ID11_MLN4	M1RP_ID11_RP2	M1RP_ID11_RP5	M1RP_ID12_MLN1	M1RP_ID12_RP2	M1RP_ID13_MLN4	M1RP_ID13_RP2	M1RP_ID13_RP1	M1RP_ID14_MLN3	M1RP_ID14_MLN4	M1RP_ID14_PB3	M1RP_ID14_RP5	M1RP_ID15_PB3	M1RP_ID15_PB5	M1RP_ID15_RP4	M1RP_ID15_RP6	M1RP_ID16_cfDNA_2017Oct24	M1RP_ID16_RP1	M1RP_ID16_RP2	M1RP_ID16_RP7	M1RP_ID17_PB4	M1RP_ID17_RP3	M1RP_ID17_RP4	M1RP_ID17_RP5	M1RP_ID18_PB3	M1RP_ID18_PB5	M1RP_ID18_PB7	M1RP_ID18_PB8	M1RP_ID18_RP2	M1RP_ID19_cfDNA_2017Jan13	M1RP_ID19_MLN2	M1RP_ID19_PB2	M1RP_ID19_RP2	M1RP_ID19_RP3	M1RP_ID19_RP7	M1RP_ID1_MLN4	M1RP_ID1_RP1	M1RP_ID1_RP2	M1RP_ID20_MLN1	M1RP_ID20_PB1	M1RP_ID20_PB3	M1RP_ID21_cfDNA_2018Oct25	M1RP_ID21_MLN1	M1RP_ID21_PB2	M1RP_ID21_RP2	M1RP_ID21_RP3	M1RP_ID22_MLN1	M1RP_ID22_RP10	M1RP_ID22_RP1	M1RP_ID23_MLN1	M1RP_ID23_RP4	M1RP_ID23_RP9	M1RP_ID24_RP6	M1RP_ID25_RP2	M1RP_ID26_MLN1	M1RP_ID26_RP1	M1RP_ID26_RP3	M1RP_ID27_MLN2	M1RP_ID27_RP4	M1RP_ID27_RP5	M1RP_ID28_MLN1	M1RP_ID28_RP2	M1RP_ID28_RP4	M1RP_ID29_MLN3	M1RP_ID29_RP8	M1RP_ID29_RP9	M1RP_ID2_cfDNA_2018Jun07	M1RP_ID2_MLN6	M1RP_ID2_MLN9	M1RP_ID2_RP3	M1RP_ID2_RP6	M1RP_ID30_PB1	M1RP_ID30_RP1	M1RP_ID30_RP3	M1RP_ID30_UCC	M1RP_ID31_MLN9	M1RP_ID31_RP2	M1RP_ID31_RP3	M1RP_ID32_RP4	M1RP_ID33_cfDNA_2021Mar30	M1RP_ID33_MLN5	M1RP_ID33_RP5	M1RP_ID33_RP6	M1RP_ID33_RP9	M1RP_ID34_MLN7	M1RP_ID34_RP3	M1RP_ID34_RP6	M1RP_ID35_RP4	M1RP_ID36_MLN2	M1RP_ID36_RP1	M1RP_ID36_RP3	M1RP_ID37_MLN1	M1RP_ID37_MLN2	M1RP_ID37_RP5	M1RP_ID37_RP6	M1RP_ID38_cfDNA_2020Jan30	M1RP_ID38_RP1	M1RP_ID38_RP7	M1RP_ID39_PB1	M1RP_ID3_MLN5	M1RP_ID3_RP4	M1RP_ID3_RP5	M1RP_ID40_RP4	M1RP_ID41_RP4	M1RP_ID42_MLN3	M1RP_ID42_RP1	M1RP_ID42_RP8	M1RP_ID43_MLN1	M1RP_ID43_RP2	M1RP_ID43_RP8	M1RP_ID4_cfDNA_2017May12	M1RP_ID4_MLN2	M1RP_ID4_MLN4	M1RP_ID4_RP2	M1RP_ID4_RP9	M1RP_ID5_cfDNA_2018Mar30	M1RP_ID5_MLN5	M1RP_ID5_PB2	M1RP_ID5_RP1	M1RP_ID6_MLN1	M1RP_ID6_RP1	M1RP_ID6_RP2	M1RP_ID6_RP5	M1RP_ID7_MLN3	M1RP_ID7_RP1	M1RP_ID7_RP3	M1RP_ID8_MLN1	M1RP_ID8_MLN2	M1RP_ID8_MLN3	M1RP_ID8_MLN4	M1RP_ID8_MLN8	M1RP_ID8_MLN9	M1RP_ID8_RP1	M1RP_ID8_RP2	M1RP_ID8_RP4	M1RP_ID8_RP5	M1RP_ID8_RP7	M1RP_ID8_RP8	M1RP_ID9_MLN2	M1RP_ID9_RP6	M1RP_ID9_RP9
M1RP_ID10_PB2				39/47																																																																																																																																														
M1RP_ID10_RP2				34/42																																																																																																																																														
M1RP_ID10_RP3				50/51																																																																																																																																														
M1RP_ID10_cfDNA_2018Dec03	39/47	34/42	50/51																																																																																																																																															
M1RP_ID11_MLN3							23/29	19/19																																																																																																																																										
M1RP_ID11_MLN4							16/26	10/17																																																																																																																																										
M1RP_ID11_RP2					23/29	16/26																																																																																																																																												
M1RP_ID11_RP5					19/19	10/17																																																																																																																																												
M1RP_ID12_MLN1										3/3																																																																																																																																								
M1RP_ID12_RP2									3/3																																																																																																																																									
M1RP_ID13_MLN4												30/34	25/31																																																																																																																																					
M1RP_ID13_RP2											30/34																																																																																																																																							
M1RP_ID13_RP1											25/31																																																																																																																																							
M1RP_ID14_MLN3																13/18	37/47																																																																																																																																	
M1RP_ID14_MLN4																13/18	31/44																																																																																																																																	
M1RP_ID14_PB3														13/18	13/18																																																																																																																																			
M1RP_ID14_RP5														37/47	31/44																																																																																																																																			
M1RP_ID15_PB3																																																																																																																																																		
M1RP_ID15_PB5																																																																																																																																																		
M1RP_ID15_RP4																																																																																																																																																		
M1RP_ID15_RP6																																																																																																																																																		
M1RP_ID16_cfDNA_2017Oct24																							24/45	38/53	20/46																																																																																																																									
M1RP_ID16_RP1																						24/45																																																																																																																												
M1RP_ID16_RP2																						38/53																																																																																																																												
M1RP_ID16_RP7																						20/46																																																																																																																												
M1RP_ID17_PB4																																																																																																																																																		
M1RP_ID17_RP3																																																																																																																																																		
M1RP_ID17_RP4																																																																																																																																																		
M1RP_ID17_RP5																																																																																																																																																		
M1RP_ID18_PB3																																																																																																																																																		
M1RP_ID18_PB5																																																																																																																																																		
M1RP_ID18_PB7																																																																																																																																																		
M1RP_ID18_PB8																																																																																																																																																		
M1RP_ID18_RP2																																																																																																																																																		
M1RP_ID19_cfDNA_2017Jan13																																					10/108	6/52	6/58	0/8																																																																																																										
M1RP_ID19_MLN2																																					59/104	45/51	33/57	0/8																																																																																																										
M1RP_ID19_PB2																																			10/108	59/104																																																																																																														
M1RP_ID19_RP2																																			6/52	45/51																																																																																																														
M1RP_ID19_RP3																																			6/58	33/57																																																																																																														
M1RP_ID19_RP7																																			0/8	0/8																																																																																																														
M1RP_ID1_MLN4																																										33/44	32/47																																																																																																							
M1RP_ID1_RP1																																									33/44																																																																																																									
M1RP_ID1_RP2																																									32/47																																																																																																									
M1RP_ID20_MLN1																																													120/120	129/137																																																																																																				
M1RP_ID20_PB1																																												120/120																																																																																																						
M1RP_ID20_PB3																																												129/137																																																																																																						
M1RP_ID21_cfDNA_2018Oct25																																																	28/81	20/36	19/46																																																																																															
M1RP_ID21_MLN1																																																	22/70	17/34	18/45																																																																																															
M1RP_ID21_PB2																																															28/81	22/70																																																																																																		
M1RP_ID21_RP2																																															20/36	17/34																																																																																																		
M1RP_ID21_RP3																																															19/46	18/45																																																																																																		
M1RP_ID22_MLN1																																																					17/20	26/61																																																																																												
M1RP_ID22_RP10																																																				17/20																																																																																														
M1RP_ID22_RP1																																																				26/61																																																																																														
M1RP_ID23_MLN1																																																								25/64	12/36																																																																																									
M1RP_ID23_RP4																																																							25/64																																																																																											
M1RP_ID23_RP9																																																							12/36																																																																																											
M1RP_ID24_RP6																																																																																																																																																		
M1RP_ID25_RP2																																																																																																																																																		
M1RP_ID26_MLN1																																																													5/9	5/7																																																																																				
M1RP_ID26_RP1																																																												5/9																																																																																						
M1RP_ID26_RP3																																																												5/7																																																																																						
M1RP_ID27_MLN2																																																																16/16	15/15																																																																																	
M1RP_ID27_RP4																																																															16/16																																																																																			
M1RP_ID27_RP5																																																															15/15																																																																																			
M1RP_ID28_MLN1																																																																			28/41	19/63																																																																														
M1RP_ID28_RP2																																																																		28/41																																																																																
M1RP_ID28_RP4																																																																		19/63																																																																																
M1RP_ID29_MLN3																																																																						6/27	4/40																																																																											
M1RP_ID29_RP8																																																																					6/27																																																																													
M1RP_ID29_RP9																																																																					4/40																																																																													
M1RP_ID2_cfDNA_2018Jun07																																																																											23/47	14/32																																																																						
M1RP_ID2_MLN6																																																																											26/47	15/32																																																																						
M1RP_ID2_MLN9																																																																											23/47	13/32																																																																						
M1RP_ID2_RP3																																																																								23/47	26/47	23/47																																																																								
M1RP_ID2_RP6																																																																								14/32	15/32	13/32																																																																								
M1RP_ID30_PB1																																																																																																																																																		
M1RP_ID30_RP1																																																																																																																																																		
M1RP_ID30_RP3																																																																																																																																																		
M1RP_ID30_UCC																																																																																																																																																		
M1RP_ID31_MLN9																																																																																		8/12	9/16																																																															
M1RP_ID31_RP2																																																																																	8/12																																																																	
M1RP_ID31_RP3																																																																																	9/16																																																																	
M1RP_ID32_RP4																																																																																																																																																		
M1RP_ID33_cfDNA_2021Mar30																																																																																							75/93	130/142	21/46																																																									
M1RP_ID33_MLN5																																																																																							81/93	133/142	22/46																																																									
M1RP_ID33_RP5																																																																																					75/93	81/93																																																												
M1RP_ID33_RP6																																																																																					130/142	133/142																																																												
M1RP_ID33_RP9																																																																																					21/46	22/46																																																												
M1RP_ID34_MLN7																																																																																											18/25	13/26																																																						
M1RP_ID34_RP3																																																																																										18/25																																																								
M1RP_ID34_RP6																																																																																										13/26																																																								
M1RP_ID35_RP4																																																																																																																																																		
M1RP_ID36_MLN2																																																																																															3/5	1/1																																																		
M1RP_ID36_RP1																																																																																														3/5																																																				
M1RP_ID36_RP3																																																																																														1/1																																																				
M1RP_ID37_MLN1																																																																																																			11/17	9/14																																														
M1RP_ID37_MLN2																																																																																																			11/17	9/14																																														
M1RP_ID37_RP5																																																																																																	11/17	11/17																																																
M1RP_ID37_RP6																																																																																																	9/14	9/14																																																
M1RP_ID38_cfDNA_2020Jan30																																																																																																						44/49	3/20																																											
M1RP_ID38_RP1																																																																																																					44/49																																													
M1RP_ID38_RP7																																																																																																					3/20																																													
M1RP_ID39_PB1																																																																																																																																																		
M1RP_ID3_MLN5																																																																																																										28/35	25/26																																							
M1RP_ID3_RP4																																																																																																									28/35																																									
M1RP_ID3_RP5																																																																																																									25/26																																									
M1RP_ID40_RP4																																																																																																																																																		
M1RP_ID41_RP4																																																																																																																																																		
M1RP_ID42_MLN3																																																																																																															22/22	27/42																																		
M1RP_ID42_RP1																																																																																																														22/22																																				
M1RP_ID42_RP8																																																																																																														27/42																																				
M1RP_ID43_MLN1																																																																																																																		22/34	62/66																															
M1RP_ID43_RP2																																																																																																																	22/34																																	
M1RP_ID43_RP8																																																																																																																	62/66																																	
M1RP_ID4_cfDNA_2017May12																																																																																																																							29/42	47/63																										
M1RP_ID4_MLN2																																																																																																																							30/42	47/63																										
M1RP_ID4_MLN4																																																																																																																							30/42	37/63																										
M1RP_ID4_RP2																																																																																																																				29/42	30/42	30/42																												
M1RP_ID4_RP9																																																																																																																				47/63	47/63	37/63																												
M1RP_ID5_cfDNA_2018Mar30																																																																																																																											77/138	68/95																						
M1RP_ID5_MLN5																																																																																																																											39/138	38/95																						
M1RP_ID5_PB2																																																																																																																									77/138	39/138																								
M1RP_ID5_RP1																																																																																																																									68/95	38/95																								
M1RP_ID6_MLN1																																																																																																																															50/68	29/31																		
M1RP_ID6_RP1																																																																																																																																																		
M1RP_ID6_RP2																																																																																																																													50/68																					
M1RP_ID6_RP5																																																																																																																													29/31																					
M1RP_ID7_MLN3																																																																																																																																		37/39	34/37															
M1RP_ID7_RP1																																																																																																																																	37/39																	
M1RP_ID7_RP3																																																																																																																																	34/37																	
M1RP_ID8_MLN1																																																																																																																																										29/60	34/867	37/85	33/446	66/645	24/50			
M1RP_ID8_MLN2																																																																																																																																										18/60	34/867	29/85	358/447	37/645	24/50			
M1RP_ID8_MLN3																																																																																																																																										15/60	490/867	27/85	34/446	425/645	28/50			
M1RP_ID8_MLN4																																																																																																																																										16/60	487/867	27/85	39/447	425/645	28/50			
M1RP_ID8_MLN8																																																																																																																																										28/60	29/866	36/85	33/445	56/645	25/49			
M1RP_ID8_MLN9																																																																																																																																										19/60	491/867	28/85	42/447	430/645	28/50			
M1RP_ID8_RP1																																																																																																																																				29/60	18/60	15/60	16/60	28/60	19/60									
M1RP_ID8_RP2																																																																																																																																				34/867	34/867	490/867	487/867	29/866	491/867									
M1RP_ID8_RP4																																																																																																																																				37/85	29/85	27/85	27/85	36/85	28/85									
M1RP_ID8_RP5																																																																																																																																				33/446	358/447	34/446	39/447	33/445	42/447									
M1RP_ID8_RP7																																																																																																																																				66/645	37/645	425/645	425/645	56/645	430/645									
M1RP_ID8_RP8																																																																																																																																				24/50	24/50	28/50	28/50	25/49	28/50									
M1RP_ID9_MLN2																																																																																																																																																	285/287	748/759
M1RP_ID9_RP6																																																																																																																																																285/287		
M1RP_ID9_RP9																																																																																																																																																748/759		
